Fecha,Termo,Eólica,Hidroeléctrica
Abr/2013,15500721.361,103718.235,1847380.422
May/2013,17022646.34,106033.481,1594194.121
Jun/2013,16941977.409,73331.179,2145803.929
Jul/2013,16324193.692,147304.306,2650975.236
Ago/2013,17082474.327,173756.169,2657974.652
Sep/2013,14589498.16,15565.666,3645514.511
Oct/2013,13977822.457,145602.724,3978381.555
Nov/2013,12474140.319,219163.166,2956614.792
Dic/2013,12578416.511,229020.23,2377331.012
Ene/2014,12250199.942,268541.918,2763525.533
Feb/2014,11498731.949,186958.169,2902096.072
Mar/2014,13558591.46,151788.947,3271538.421
Abr/2014,14136471.121,143165.034,3360643.024
May/2014,15296347.877,149813.59,3155727.677
Jun/2014,15688997.193,54864.848,3932642.783
Jul/2014,14807026.992,239289.552,4953621.439
Ago/2014,15886935.791,154410.061,3511847.978
Sep/2014,15286765.23,84350.092,2945783.345
Oct/2014,14988631.615,156916.514,3033075.909
Nov/2014,12692225.835,226430.03,2183506.145
Dic/2014,12640605.374,260471.657,2130765.536
Ene/2015,12806938.084,298420.09,2022371.269
Feb/2015,12119179.407,225863.379,2205042.262
Mar/2015,13478824.663,219522.262,2781201.804
Abr/2015,13388369.085,108488.005,3504334.823
May/2015,14727854.505,126240.333,3913134.945
Jun/2015,15387794.65,187937.793,3156085.217
Jul/2015,16115831.535,199470.636,3200775.034
Ago/2015,17892462.396,208992.534,2323913.32
Sep/2015,16621808.821,117396.407,2329399.867
Oct/2015,16145409.802,188666.027,1718202.028
Nov/2015,14320126.298,297164.969,1579057.669
Dic/2015,14144278.631,208784.015,1317249.607
Ene/2016,13700236.992114,286275.300982,1301410.019
Feb/2016,12798229.191986,287860.763238,1661913.843
Mar/2016,14179572.950125,150580.379489,2466673.231
Abr/2016,14733030.399016,172897.123982,3162717.758
May/2016,15850973.419697,98646.182188,3533558.959
Jun/2016,16572309.57123,107986.33279,2880700.812
Jul/2016,17016911.442293,198884.324472,2976477.049
Ago/2016,16494481.021425,134201.346,3381817.888
Sep/2016,15935894.013428,140291.357891,3049392.746
Oct/2016,15740674.889037,291078.136927,2383047.013
Nov/2016,14034041.016225,320173.997074,1314582.882
Dic/2016,13676002.235615,272666.90129,1026103.424
Ene/2017,13321152.226282,196704.355493,1204142.289
Feb/2017,12506156.116346,182241.026972,1303594.074
Mar/2017,14621001.843537,270608.799203,1781713.931
Abr/2017,14301144.250947,169115.852889,2563531.231
May/2017,15937179.686862,56199.9699,3641379.925
Jun/2017,16272646.70362,38226.245391,3695876.975
Jul/2017,16591515.297016,217518.163132,2382421.803
Ago/2017,17482232.727257,97867.133651,3125188.432
Sep/2017,15083231.610687,9456.339726,3681998.456
Oct/2017,14524598.498657,186358.467973,3253848.056
Nov/2017,13954641.507436,238623.465341,2124728.227
